E RHE	ph1 HER	pH2 HER	ph3 HER	pH1 FF	pH 2 FF	pH 3 FF	ph 1.5 HER	pH1.5 FF				
-0.002	-0.0225	0.0995	-0.049	-0.0975	-0.108	-0.0415	-0.1645	-0.0925				
-0.007	-0.019	0.0305	-0.037	-0.079	-0.062	-0.0285	-0.0935	-0.0565				
-0.012	-0.0185	0.015	-0.032	-0.0735	-0.054	-0.024	-0.072	-0.0485				
-0.017	-0.019	-5.00E-04	-0.029	-0.0745	-0.054	-0.0215	-0.06	-0.0445				Furfural = 8 mM
-0.022	-0.019	-0.008	-0.027	-0.075	-0.0465	-0.019	-0.0515	-0.043				Scan rate = 50 mV s-1
-0.027	-0.019	-0.008	-0.0255	-0.0745	-0.0465	-0.0175	-0.046	-0.043				
-0.032	-0.019	-0.0155	-0.024	-0.072	-0.0465	-0.0175	-0.043	-0.042				
-0.037	-0.019	-0.0155	-0.023	-0.0705	-0.0465	-0.017	-0.0405	-0.042				
-0.042	-0.0185	-0.0155	-0.023	-0.068	-0.0465	-0.016	-0.0385	-0.0415				
-0.047	-0.0185	-0.0235	-0.0225	-0.0675	-0.0465	-0.016	-0.037	-0.042				
-0.052	-0.019	-0.0235	-0.0215	-0.078	-0.0465	-0.0155	-0.036	-0.042				
-0.057	-0.019	-0.0235	-0.0215	-0.076	-0.0465	-0.0155	-0.0355	-0.043				
-0.062	-0.019	-0.031	-0.0215	-0.078	-0.0465	-0.0155	-0.0345	-0.0435				
-0.067	-0.019	-0.031	-0.0205	-0.076	-0.0465	-0.0155	-0.0335	-0.0435				
-0.072	-0.019	-0.031	-0.0205	-0.075	-0.0465	-0.0155	-0.033	-0.0435				
-0.077	-0.019	-0.031	-0.0205	-0.075	-0.0465	-0.0155	-0.032	-0.0435				
-0.082	-0.019	-0.031	-0.0205	-0.0745	-0.054	-0.0155	-0.032	-0.045				
-0.087	-0.019	-0.031	-0.0205	-0.0805	-0.054	-0.0155	-0.0315	-0.046				
-0.092	-0.02	-0.031	-0.0205	-0.0805	-0.054	-0.0155	-0.0315	-0.047				
-0.097	-0.02	-0.039	-0.0205	-0.078	-0.054	-0.0155	-0.0305	-0.047				
-0.102	-0.02	-0.039	-0.0205	-0.079	-0.054	-0.0155	-0.0305	-0.0485				
-0.107	-0.02	-0.039	-0.0205	-0.0845	-0.054	-0.016	-0.0305	-0.0485				
-0.112	-0.0205	-0.039	-0.0205	-0.086	-0.054	-0.0155	-0.0305	-0.049				
-0.117	-0.0205	-0.039	-0.0205	-0.086	-0.054	-0.0155	-0.03	-0.0505				
-0.122	-0.0205	-0.039	-0.0205	-0.085	-0.054	-0.0155	-0.03	-0.0505				
-0.127	-0.0205	-0.039	-0.0205	-0.0865	-0.054	-0.016	-0.03	-0.049				
-0.132	-0.0205	-0.0465	-0.0205	-0.085	-0.054	-0.016	-0.03	-0.05				
-0.137	-0.0205	-0.039	-0.0205	-0.083	-0.062	-0.016	-0.03	-0.0505				
-0.142	-0.019	-0.0465	-0.0215	-0.082	-0.062	-0.016	-0.03	-0.053				
-0.147	-0.0205	-0.0465	-0.0215	-0.0845	-0.062	-0.016	-0.03	-0.0545				
-0.152	-0.0215	-0.0465	-0.0215	-0.086	-0.062	-0.016	-0.03	-0.0535				
-0.157	-0.0225	-0.0465	-0.0215	-0.085	-0.062	-0.017	-0.03	-0.0535				
-0.162	-0.0225	-0.0465	-0.0215	-0.085	-0.062	-0.017	-0.03	-0.0535				
-0.167	-0.0225	-0.0465	-0.0215	-0.085	-0.062	-0.0175	-0.03	-0.0545				
-0.172	-0.0225	-0.0465	-0.0215	-0.0845	-0.0695	-0.0175	-0.03	-0.0565				
-0.177	-0.024	-0.0465	-0.0225	-0.086	-0.0695	-0.0175	-0.03	-0.0565				
-0.182	-0.023	-0.0465	-0.0225	-0.0945	-0.0695	-0.0175	-0.03	-0.056				
-0.187	-0.023	-0.054	-0.0225	-0.0975	-0.0695	-0.0175	-0.03	-0.0575				
-0.192	-0.0245	-0.0465	-0.023	-0.102	-0.0695	-0.0175	-0.03	-0.0565				
-0.197	-0.024	-0.054	-0.023	-0.1025	-0.077	-0.0185	-0.03	-0.0575				
-0.202	-0.0245	-0.054	-0.023	-0.098	-0.077	-0.0185	-0.0305	-0.059				
-0.207	-0.0245	-0.054	-0.023	-0.101	-0.077	-0.0185	-0.0305	-0.06				
-0.212	-0.0255	-0.054	-0.024	-0.106	-0.077	-0.019	-0.0305	-0.0615				
-0.217	-0.0255	-0.054	-0.024	-0.106	-0.077	-0.019	-0.0305	-0.0645				
-0.222	-0.0255	-0.054	-0.024	-0.1025	-0.085	-0.02	-0.0315	-0.0635				
-0.227	-0.026	-0.054	-0.0245	-0.104	-0.085	-0.02	-0.0315	-0.0635				
-0.232	-0.026	-0.054	-0.0255	-0.1075	-0.085	-0.02	-0.0315	-0.0645				
-0.237	-0.027	-0.054	-0.0255	-0.1065	-0.085	-0.0205	-0.032	-0.065				
-0.242	-0.0275	-0.062	-0.0255	-0.1135	-0.0925	-0.0205	-0.032	-0.0665				
-0.247	-0.0285	-0.062	-0.026	-0.112	-0.0925	-0.0215	-0.033	-0.068				
-0.252	-0.029	-0.062	-0.026	-0.1155	-0.0925	-0.0225	-0.0335	-0.068				
-0.257	-0.0305	-0.062	-0.027	-0.1205	-0.0925	-0.023	-0.0335	-0.068				
-0.262	-0.0305	-0.062	-0.027	-0.121	-0.1	-0.023	-0.0345	-0.0715				
-0.267	-0.0305	-0.062	-0.0275	-0.122	-0.1	-0.024	-0.0355	-0.0715				
-0.272	-0.0305	-0.062	-0.0285	-0.1265	-0.108	-0.0245	-0.036	-0.0735				
-0.277	-0.0315	-0.0695	-0.029	-0.127	-0.108	-0.0255	-0.037	-0.075				
-0.282	-0.0335	-0.0695	-0.029	-0.127	-0.108	-0.026	-0.0385	-0.0765				
-0.287	-0.0355	-0.0695	-0.03	-0.131	-0.1155	-0.027	-0.039	-0.079				
-0.292	-0.0375	-0.0695	-0.0305	-0.1425	-0.1155	-0.0275	-0.0405	-0.081				
-0.297	-0.0385	-0.0695	-0.0315	-0.142	-0.123	-0.0275	-0.042	-0.083				
-0.302	-0.039	-0.0695	-0.032	-0.145	-0.123	-0.0285	-0.0445	-0.091				
-0.307	-0.0405	-0.077	-0.033	-0.154	-0.131	-0.03	-0.046	-0.0895				
-0.312	-0.042	-0.077	-0.0335	-0.1625	-0.131	-0.0305	-0.049	-0.092				
-0.317	-0.0445	-0.077	-0.0345	-0.1755	-0.1385	-0.0315	-0.052	-0.0935				
-0.322	-0.045	-0.085	-0.0355	-0.19	-0.146	-0.032	-0.055	-0.099				
-0.327	-0.0475	-0.085	-0.036	-0.2025	-0.146	-0.033	-0.059	-0.104				
-0.332	-0.049	-0.085	-0.037	-0.22	-0.154	-0.0335	-0.063	-0.1095				
-0.337	-0.052	-0.0925	-0.0375	-0.2445	-0.1615	-0.0355	-0.0665	-0.1175				
-0.342	-0.055	-0.0925	-0.0385	-0.2675	-0.1615	-0.036	-0.0715	-0.124				
-0.347	-0.06	-0.0925	-0.039	-0.2955	-0.169	-0.0375	-0.076	-0.1335				
-0.352	-0.0645	-0.1	-0.0405	-0.322	-0.177	-0.0385	-0.0805	-0.1425				
-0.357	-0.069	-0.1	-0.0415	-0.3645	-0.1845	-0.04	-0.085	-0.1535				
-0.362	-0.076	-0.108	-0.043	-0.41	-0.1845	-0.0405	-0.0905	-0.163				
-0.367	-0.0835	-0.108	-0.0445	-0.458	-0.192	-0.042	-0.095	-0.1755				
-0.372	-0.091	-0.1155	-0.045	-0.5195	-0.2	-0.0435	-0.1005	-0.187				
-0.377	-0.0995	-0.1155	-0.046	-0.59	-0.2075	-0.0445	-0.106	-0.201				
-0.382	-0.111	-0.123	-0.0475	-0.6565	-0.2075	-0.046	-0.111	-0.2145				
-0.387	-0.1235	-0.123	-0.0485	-0.7295	-0.215	-0.047	-0.1175	-0.23				
-0.392	-0.1385	-0.131	-0.0505	-0.8195	-0.223	-0.0485	-0.1225	-0.243				
-0.397	-0.158	-0.1385	-0.052	-0.9165	-0.2305	-0.05	-0.1295	-0.2605				
-0.402	-0.177	-0.1385	-0.053	-1.016	-0.238	-0.0515	-0.1355	-0.278				
-0.407	-0.1985	-0.146	-0.0545	-1.13	-0.246	-0.0535	-0.1435	-0.2935				
-0.412	-0.226	-0.154	-0.0565	-1.232	-0.2535	-0.055	-0.151	-0.3135				
-0.417	-0.256	-0.154	-0.0585	-1.365	-0.261	-0.0565	-0.1595	-0.331				
-0.422	-0.2895	-0.1615	-0.06	-1.4955	-0.261	-0.0585	-0.168	-0.3495				
-0.427	-0.3295	-0.169	-0.062	-1.6435	-0.269	-0.0605	-0.178	-0.3695				
-0.432	-0.3725	-0.177	-0.0635	-1.7825	-0.284	-0.062	-0.1875	-0.3885				
-0.437	-0.4205	-0.1845	-0.066	-1.938	-0.284	-0.0635	-0.199	-0.409				
-0.442	-0.475	-0.192	-0.0675	-2.0855	-0.2995	-0.066	-0.2105	-0.4305				
-0.447	-0.535	-0.2	-0.069	-2.2545	-0.2995	-0.068	-0.2235	-0.452				
-0.452	-0.602	-0.2	-0.0715	-2.4385	-0.3075	-0.07	-0.2375	-0.4735				
-0.457	-0.674	-0.2075	-0.073	-2.62	-0.3225	-0.072	-0.252	-0.495				
-0.462	-0.753	-0.215	-0.075	-2.834	-0.3225	-0.0745	-0.2675	-0.5155				
-0.467	-0.8445	-0.223	-0.0765	-3.046	-0.3305	-0.0765	-0.2835	-0.5365				
-0.472	-0.941	-0.2305	-0.079	-3.249	-0.3455	-0.079	-0.299	-0.561				
-0.477	-1.048	-0.238	-0.081	-3.4805	-0.3535	-0.0805	-0.3165	-0.5845				
